iter	Passed	Remaining
0	186	186492
1	188	93917
2	189	62914
3	190	47467
4	192	38292
5	193	32076
6	194	27617
7	195	24278
8	196	21680
9	200	19848
10	201	18138
11	203	16723
12	204	15544
13	205	14502
14	207	13600
15	208	12810
16	209	12110
17	210	11484
18	216	11168
19	217	10662
20	218	10191
21	219	9760
22	221	9398
23	222	9053
24	223	8720
25	224	8416
26	225	8132
27	227	7906
28	230	7729
29	232	7501
30	233	7284
31	234	7102
32	236	6918
33	237	6741
34	238	6565
35	239	6402
36	239	6245
37	241	6104
38	243	5991
39	244	5863
40	245	5737
41	246	5618
42	247	5505
43	248	5397
44	249	5294
45	250	5204
46	251	5106
47	252	5014
48	253	4924
49	256	4874
50	257	4799
51	258	4720
52	259	4644
53	260	4569
54	261	4496
55	262	4427
56	263	4360
57	264	4298
58	265	4234
59	266	4176
60	267	4116
61	268	4060
62	269	4013
63	272	3984
64	273	3936
65	276	3910
66	278	3874
67	279	3824
68	280	3778
69	280	3731
70	281	3686
71	282	3644
72	283	3603
73	286	3583
74	289	3568
75	290	3532
76	291	3495
77	292	3459
78	294	3428
79	295	3396
80	296	3362
81	297	3330
82	298	3297
83	300	3272
84	301	3243
85	302	3213
86	303	3183
87	304	3160
88	306	3133
89	307	3104
90	308	3077
91	309	3050
92	309	3022
93	311	2997
94	311	2972
95	312	2947
96	314	2930
97	318	2928
98	319	2906
99	320	2884
100	321	2863
101	322	2840
102	323	2817
103	324	2795
104	325	2773
105	326	2752
106	327	2731
107	328	2714
108	330	2699
109	331	2685
110	333	2667
111	334	2649
112	335	2631
113	336	2612
114	336	2593
115	401	3057
116	402	3037
117	403	3017
118	404	2996
119	405	2976
120	406	2955
121	407	2933
122	415	2965
123	417	2947
124	418	2928
125	419	2910
126	435	2991
127	436	2973
128	437	2953
129	438	2933
130	439	2913
131	442	2906
132	443	2888
133	444	2870
134	445	2853
135	447	2841
136	448	2827
137	450	2813
138	451	2799
139	453	2786
140	456	2780
141	457	2767
142	460	2761
143	462	2747
144	463	2732
145	465	2720
146	466	2705
147	467	2690
148	468	2676
149	471	2669
150	474	2666
151	475	2655
152	477	2644
153	478	2630
154	480	2617
155	481	2603
156	482	2591
157	484	2579
158	492	2606
159	493	2593
160	494	2578
161	495	2565
162	496	2551
163	497	2538
164	498	2524
165	504	2534
166	506	2525
167	507	2512
168	508	2498
169	509	2485
170	510	2472
171	511	2460
172	511	2446
173	512	2433
174	513	2421
175	514	2409
176	520	2420
177	521	2410
178	522	2398
179	524	2388
180	525	2376
181	526	2367
182	527	2356
183	528	2344
184	532	2344
185	534	2340
186	535	2330
187	536	2318
188	537	2307
189	538	2296
190	539	2285
191	540	2274
192	541	2263
193	542	2252
194	543	2241
195	543	2231
196	547	2230
197	548	2222
198	549	2212
199	550	2202
200	551	2192
201	552	2182
202	553	2171
203	554	2161
204	554	2152
205	555	2142
206	556	2132
207	557	2122
208	558	2112
209	558	2102
210	561	2097
211	562	2090
212	563	2081
213	564	2073
214	565	2064
215	566	2055
216	567	2046
217	567	2037
218	568	2028
219	569	2019
220	570	2010
221	571	2001
222	572	1993
223	572	1984
224	573	1976
225	575	1970
226	577	1966
227	578	1960
228	580	1952
229	580	1944
230	581	1936
231	582	1928
232	583	1920
233	584	1912
234	585	1904
235	585	1896
236	586	1888
237	587	1880
238	588	1873
239	589	1867
240	592	1865
241	593	1859
242	594	1852
243	595	1845
244	596	1837
245	596	1829
246	597	1822
247	598	1814
248	599	1807
249	599	1799
250	600	1792
251	601	1785
252	602	1778
253	602	1770
254	604	1766
255	606	1763
256	608	1759
257	609	1752
258	610	1745
259	611	1739
260	611	1732
261	612	1725
262	613	1718
263	614	1711
264	614	1705
265	615	1699
266	616	1692
267	617	1686
268	618	1679
269	619	1675
270	621	1672
271	623	1668
272	624	1663
273	625	1657
274	626	1651
275	627	1646
276	628	1641
277	629	1635
278	630	1629
279	631	1623
280	631	1616
281	632	1610
282	634	1607
283	637	1608
284	639	1603
285	640	1598
286	641	1592
287	642	1587
288	643	1582
289	643	1576
290	644	1570
291	645	1565
292	646	1559
293	647	1554
294	648	1548
295	649	1545
296	652	1543
297	653	1539
298	654	1533
299	654	1528
300	655	1522
301	656	1517
302	657	1512
303	658	1506
304	659	1501
305	659	1496
306	660	1491
307	661	1486
308	662	1481
309	663	1476
310	665	1473
311	668	1473
312	669	1468
313	669	1463
314	670	1458
315	671	1453
316	672	1448
317	673	1443
318	674	1438
319	674	1433
320	675	1428
321	676	1423
322	676	1418
323	677	1413
324	679	1412
325	681	1408
326	682	1404
327	683	1399
328	684	1395
329	684	1390
330	685	1385
331	686	1382
332	687	1377
333	688	1373
334	689	1368
335	690	1364
336	691	1359
337	691	1355
338	693	1351
339	695	1351
340	697	1348
341	698	1343
342	699	1339
343	699	1334
344	700	1330
345	701	1326
346	702	1321
347	703	1317
348	704	1313
349	704	1308
350	705	1304
351	706	1300
352	708	1298
